aX,aY,aZ,gX,gY,gZ
0.068,-0.002,1.081,2.869,0.610,-0.549
0.074,-0.015,1.009,1.709,-3.296,0.061
0.077,-0.045,0.958,-0.610,-4.150,-0.854
0.064,-0.031,0.922,-1.648,-1.709,-2.563
0.045,0.008,0.931,-0.549,3.479,-3.235
0.035,0.024,0.994,0.427,4.761,-1.526
0.054,0.000,1.016,1.038,4.395,0.183
0.078,-0.030,1.009,0.916,0.366,0.549
0.091,-0.021,0.949,0.183,-1.221,-0.610
0.076,0.001,0.940,0.549,0.427,-0.488
0.051,0.013,1.008,2.075,2.380,0.732
0.056,-0.001,1.039,2.991,1.221,2.747
0.086,-0.061,0.989,2.136,-1.038,2.136
0.089,-0.066,0.931,0.854,0.122,-2.747
0.058,0.018,0.913,-0.305,3.967,-4.700
0.047,0.051,0.979,-1.892,7.812,-4.395
0.053,0.042,1.065,-2.014,8.362,0.916
0.103,-0.024,1.116,-0.488,4.395,2.319
0.115,-0.040,1.058,2.197,-3.662,0.366
0.103,-0.031,0.945,1.831,-4.517,-1.099
0.090,-0.025,0.929,-1.892,-0.671,-3.296
0.058,0.024,0.992,-3.906,2.258,-3.845
0.058,0.028,1.054,-3.723,2.991,-1.404
0.087,-0.016,1.067,-2.319,-0.549,-0.061
0.096,-0.036,1.006,-0.427,-5.310,-0.488
0.080,-0.011,0.908,0.183,-3.113,-1.465
0.069,0.005,0.935,1.099,5.859,-1.587
0.083,0.002,1.048,1.221,7.629,-0.854
0.098,-0.025,1.068,0.916,6.775,-0.244
0.110,-0.033,1.053,0.854,2.563,-1.648
0.099,-0.011,0.992,1.099,1.648,-2.502
0.083,0.001,0.985,-0.305,1.953,-3.296
0.061,0.015,1.008,-1.160,2.380,-3.296
0.057,0.010,1.031,1.038,3.906,-3.174
0.055,0.012,1.052,2.747,3.174,-3.235
0.052,0.028,1.023,2.441,-2.258,-2.014
0.053,0.043,0.952,1.221,-4.517,-0.061
0.062,0.007,0.948,0.183,-4.944,2.075
0.069,-0.027,0.958,0.366,-2.441,2.319
0.067,-0.004,0.959,0.549,-1.526,0.916
0.065,0.012,0.960,-0.854,-1.282,0.793
0.077,-0.022,0.973,-1.953,-1.953,1.404
0.086,-0.027,0.963,-3.479,-2.869,0.549
0.088,-0.027,0.963,-3.174,-1.526,-0.183
0.082,-0.020,0.983,-2.197,0.549,-2.136
0.072,-0.002,1.010,-2.502,-0.305,-2.380
0.073,0.001,0.999,-3.052,-2.380,-1.465
0.076,0.008,0.987,-2.869,-1.404,-0.671
0.079,0.009,1.011,-0.183,1.709,0.916
0.086,-0.010,1.015,0.854,1.099,1.160
0.081,-0.003,0.978,0.488,-0.427,0.549
0.083,-0.007,0.971,-1.526,0.732,-0.122
0.090,-0.012,1.008,-1.221,2.869,-0.305
0.093,-0.006,1.040,-0.488,3.723,-1.160
0.082,0.016,1.034,-0.977,2.075,-1.221
0.073,0.016,1.010,0.854,0.122,-0.061
0.056,0.026,1.011,2.014,-0.183,0.854

-0.206,-1.241,1.328,-13.367,44.128,-15.259
-0.150,-1.506,1.211,-9.888,26.978,-7.507
0.008,-1.602,0.693,-3.418,27.527,-15.991
0.080,-1.282,0.509,1.831,57.007,-35.400
0.276,-0.548,0.640,-1.099,73.547,-23.743
0.444,-0.322,0.857,-13.611,65.125,28.809
0.702,0.175,0.938,-14.709,40.649,47.119
0.767,0.362,0.956,9.583,-2.808,31.738
0.761,0.864,0.950,14.954,-20.203,-1.465
0.698,1.109,0.824,-6.042,-37.415,-35.400
0.568,1.215,0.641,-113.037,-62.622,-73.120
0.202,0.902,0.508,-145.935,-59.326,-82.397
-0.021,0.677,0.601,-101.196,-11.536,-121.094
-0.753,1.224,0.862,-63.721,24.170,-141.785
-1.096,1.743,1.131,-19.836,76.599,-97.229
-0.912,1.803,1.997,7.080,69.092,-24.841
-0.405,1.167,2.047,47.058,-33.081,114.990
0.643,-0.207,0.681,45.776,-77.942,136.047
0.869,-0.541,0.159,44.128,-42.664,93.323
0.840,-0.568,0.513,48.889,1.160,61.462
0.781,-0.506,0.890,46.692,23.193,36.682
0.558,-0.278,0.988,11.658,-3.235,5.920
0.420,-0.161,0.873,-3.418,-17.395,-3.113
0.299,-0.085,0.846,-10.376,-5.798,-10.864
0.133,-0.010,1.094,-10.986,5.249,-11.597
0.086,0.008,1.233,-14.282,6.714,-12.268
0.040,0.067,1.338,-13.062,-3.052,-11.902
0.021,0.092,1.196,-5.798,-24.414,-5.798
0.001,0.074,0.810,-0.366,-21.912,-2.075
0.013,0.078,0.765,12.451,7.019,5.188
0.127,-0.066,1.015,16.663,18.921,10.437
0.214,-0.167,1.113,12.878,15.564,9.583
0.292,-0.235,1.079,7.751,7.629,2.258
0.246,-0.193,1.053,3.601,1.038,-5.859
0.167,-0.152,1.036,-1.953,-9.399,-15.137
0.013,-0.053,0.952,-4.822,-12.268,-17.761
-0.031,-0.014,0.901,-7.324,-6.531,-19.592
-0.077,0.127,0.891,-6.348,0.427,-18.250
-0.076,0.151,0.958,0.732,11.108,-3.845
-0.011,-0.014,1.072,4.028,10.681,3.296
