aX,aY,aZ,gX,gY,gZ
-0.807,-0.105,0.464,-2.808,-2.258,0.000
-0.805,-0.089,0.539,2.869,2.930,2.441
-0.799,-0.103,0.590,6.165,5.981,4.028
-0.798,-0.111,0.610,2.319,3.845,2.563
-0.816,-0.109,0.568,-1.343,1.709,1.160
-0.818,-0.130,0.549,-2.991,1.648,0.305
-0.798,-0.148,0.562,-1.831,2.747,-0.122
-0.795,-0.134,0.568,0.061,4.150,-1.160
-0.824,-0.122,0.594,0.854,4.395,-1.099
-0.837,-0.131,0.610,0.000,1.526,-1.221
-0.825,-0.112,0.573,-1.038,-0.610,-1.770
-0.812,-0.102,0.556,-2.686,-0.610,-2.197
-0.800,-0.135,0.595,-2.563,0.000,-1.770
-0.801,-0.142,0.595,2.014,-1.526,-0.366
-0.821,-0.117,0.536,5.371,-1.587,0.854
-0.821,-0.117,0.545,6.897,0.610,2.625
-0.803,-0.102,0.595,4.883,0.427,1.892
-0.810,-0.102,0.598,-2.014,-3.357,0.000
-0.817,-0.121,0.559,-5.127,-5.981,-0.916
-0.813,-0.096,0.509,-6.836,-7.751,-1.648
-0.815,-0.078,0.475,-6.042,-4.700,-0.488
-0.818,-0.092,0.505,-3.723,-1.343,0.793
-0.814,-0.109,0.573,1.465,2.380,2.319
-0.809,-0.122,0.594,2.930,2.258,2.319
-0.808,-0.126,0.601,1.099,-1.221,0.305
-0.822,-0.128,0.545,-2.136,-3.601,-1.038
-0.817,-0.117,0.515,-8.362,-5.615,-2.441
-0.798,-0.101,0.490,-9.155,-5.005,-1.526
-0.797,-0.120,0.485,-3.845,-1.038,1.221
-0.817,-0.139,0.526,0.366,2.075,2.014
-0.822,-0.131,0.590,4.883,5.798,2.563
-0.826,-0.126,0.689,4.150,3.845,1.892
-0.827,-0.135,0.662,-2.197,-4.761,-0.793
-0.823,-0.109,0.539,-5.432,-7.141,-1.953
-0.822,-0.079,0.501,-3.906,-3.601,-0.854
-0.812,-0.090,0.534,-0.183,0.610,0.854
-0.803,-0.120,0.593,2.991,3.845,1.831
